id,uri,siglaTipo,codTipo,numero,ano,ementa,dataApresentacao
2483164,https://dadosabertos.camara.leg.br/api/v2/proposicoes/2483164,PEC,136,2,2025,"Dá nova redação ao Capítulo II, do Título IV, da Constituição Federal, que dispõe sobre o Poder Executivo e dá outras providências.",2025-02-06T15:42
2485341,https://dadosabertos.camara.leg.br/api/v2/proposicoes/2485341,PEC,136,8,2025,"Dá nova redação ao inciso XIII, do artigo 7° da Constituição Federal para dispor sobre a redução da jornada de trabalho para quatro dias por semana no Brasil.",2025-02-25T15:47
2485767,https://dadosabertos.camara.leg.br/api/v2/proposicoes/2485767,PEC,136,9,2025,"Acrescenta o § 16 ao art. 198 da Constituição Federal, para dispor sobre as diretrizes para os Planos de Carreira e os pisos salariais nacionais dos profissionais de saúde do Sistema Único de Saúde.",2025-02-27T12:15
2487249,https://dadosabertos.camara.leg.br/api/v2/proposicoes/2487249,PEC,136,10,2025,"Altera o Artigo 133º da Constituição Federal, que dispõe sobre a importância do exercicio do advogado, junto a administração da justiça.",2025-03-17T15:54
2487390,https://dadosabertos.camara.leg.br/api/v2/proposicoes/2487390,PEC,136,11,2025,"Dá nova redação ao art. 71 da Constituição Federal, para alterar a prerrogativa de controle externo, a cargo do Congresso Nacional, com auxílio do Tribunal de Contas da União, no que se refere às contas nacionais das empresas supranacionais de cujo capital social a União participe, de forma direta ou indireta.",2025-03-18T17:06
2487818,https://dadosabertos.camara.leg.br/api/v2/proposicoes/2487818,PEC,136,12,2025,"Altera o art. 50 da Constituição da República, para incluir o Presidente do Banco Central no rol das autoridades, que a Câmara dos Deputados e o Senado Federal, ou quaisquer de suas Comissões, podem convocar para prestar informações sobre assunto previamente determinado.",2025-03-19T15:25
2499794,https://dadosabertos.camara.leg.br/api/v2/proposicoes/2499794,PEC,136,17,2025,"Acrescenta os §§ 11, 12 e 13 ao art. 144 da Constituição Federal, para instituir o piso salarial dos servidores policiais civis e militares e bombeiros militares.",2025-04-23T16:17
2500080,https://dadosabertos.camara.leg.br/api/v2/proposicoes/2500080,PEC,136,18,2025,"Altera os art. 21, art. 22, art. 23, art. 24 e art. 144 da Constituição, para dispor sobre competências da União, dos Estados, do Distrito Federal e dos Municípios relativas à segurança pública.",2025-04-24T08:51
2503919,https://dadosabertos.camara.leg.br/api/v2/proposicoes/2503919,PEC,136,20,2025,"Altera o art. 6º da Constituição Federal para incluir, entre os direitos sociais, o direito ao saneamento básico.",2025-05-05T18:36
2504516,https://dadosabertos.camara.leg.br/api/v2/proposicoes/2504516,PEC,136,21,2025,Acrescenta o inciso LXXX ao artigo 5º da Constituição Federal para tornar imprescritível os crimes sexuais quando cometidos contra menores de doze anos de idade.,2025-05-06T15:50
2519865,https://dadosabertos.camara.leg.br/api/v2/proposicoes/2519865,PEC,136,28,2025,"Altera o art. 24 da Constituição Federal para incluir no rol das competências da União, dos Estados e do Distrito Federal legislar concorrentemente sobre proteção ao idoso.",2025-05-30T14:36
2543145,https://dadosabertos.camara.leg.br/api/v2/proposicoes/2543145,PEC,136,30,2025,Altera a Constituição Federal e o Ato das Disposições Constitucionais Transitórias para estabelecer regras antiprivilégios para agentes públicos.,2025-08-12T19:35
2544926,https://dadosabertos.camara.leg.br/api/v2/proposicoes/2544926,PEC,136,31,2025,"Altera os arts. 5º e 10 da Emenda Constitucional nº 103, de 12 de novembro de 2019, para reduzir a idade de aposentadoria da mulher ocupante de cargo de agente penitenciário, agente socioeducativo ou de policial dos órgãos referidos.",2025-08-13T15:20
2551011,https://dadosabertos.camara.leg.br/api/v2/proposicoes/2551011,PEC,136,32,2025,"Esta Lei altera o artigo 5º, inciso XLIII, da Constituição Federal, o qual prevê que nos casos de crimes previstos neste inciso, a pena deverá ser cumprida integralmente em regime fechado, por eles respondendo os mandantes, os executores e os que, podendo evitá-los, se omitirem, e dá outras providências.",2025-08-20T20:33
2557024,https://dadosabertos.camara.leg.br/api/v2/proposicoes/2557024,PEC,136,34,2025,"Acrescenta o inciso IX ao art. 225, §º1 da Constituição Federal, a alínea “e” ao inciso II do art. 9º, §3º e o §14 ao art. 9º da Emenda Constitucional 132/2023 para corrigir o tratamento injusto concedido pela Reforma Tributária aos agentes que atuam no setor de reciclagem, desvalorizando os materiais recicláveis e desincentivando a economia circular.",2025-09-03T17:13
